"","ale","county_name","state_abbr","population_size","population_density","poverty","age_19_under","age_19_64","age_65_84","age_85_and_over","white","black","native_american","asian","hispanic","all_death","health_status","unhealthy_days","no_exercise","few_fruit_veg","obesity","high_blood_pres","smoker","diabetes","uninsured","elderly_medicare","disabled_medicare","prim_care_phys_rate","dentist_rate","no_hs_diploma","unemployed","sev_work_disabled","major_depression","recent_drug_use"
"1",74.9,"Autauga","AL",48612,82,10.4,26.9,62.3,9.8,0.9,80.7,17.3,0.5,0.6,1.7,1041.5,21.8,7.5,27.8,78.6,24.5,29.1,26.6,14.2,5690,4762,1209,45.3,22.6,6690,774,1727,2680,2394
"2",76.6,"Baldwin","AL",162586,102,10.2,23.5,60.3,14.5,1.8,88.4,9.9,0.5,0.4,2.3,856.9,15.4,6.7,27.2,76.2,23.6,30.5,24.6,7.2,19798,22635,3839,67,30.8,20254,2533,4933,9354,7753
"3",74.5,"Barbour","AL",28414,32,22.1,24.3,62.5,11.6,1.6,52.2,46.8,0.4,0.3,3.1,1019.4,21.4,-1111.1,-1111.1,-1111.1,25.6,-1111.1,17.7,6.6,5126,3288,1092,45.8,24.6,6729,569,1302,1618,1403
"4",73.2,"Bibb","AL",21516,35,16.8,24.6,63.3,10.9,1.2,76.8,22.5,0.3,0.1,1.4,1050.5,19.4,-1111.1,-1111.1,86.6,-1111.1,-1111.1,-1111.1,13.1,3315,2390,974,41.8,18.6,5355,358,900,1218,1034
"5",76.1,"Blount","AL",55725,86,11.9,24.5,62.1,12.1,1.3,97.1,1.5,0.5,0.2,6.3,954.2,25.8,7.9,33.5,74.6,24.2,-1111.1,23.6,8.4,8131,5019,1300,16.2,10.8,11181,819,2217,3164,2675
"6",71.9,"Bullock","AL",11055,18,26.2,24.7,63.2,10,2.2,27.8,71.4,0.4,0.2,5.9,1107.6,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2295,1433,504,54.3,18.1,2848,327,448,626,565
"7",73,"Butler","AL",20766,27,20,25.6,58.5,13.6,2.4,57.5,41.9,0.2,0.3,0.9,1084.2,21.6,6.9,24.5,-1111.1,22,-1111.1,27.3,9.5,4055,3150,952,43.3,19.3,4363,537,976,1164,1029
"8",73.1,"Calhoun","AL",112141,184,16.4,24.1,61.6,12.7,1.5,78.3,19.7,0.4,0.8,2,1100.3,26.7,8,29.2,81.9,27,33.2,25.5,11.2,16456,16440,5301,75.8,41.9,19546,2182,5722,6400,5545
"9",73.8,"Chambers","AL",35460,59,16.2,24.8,59.5,13.5,2.2,60.8,38.6,0.1,0.2,1.2,1075.6,32.3,7.9,34.7,84.6,-1111.1,-1111.1,11.7,17.1,5533,5473,1497,53.6,22.6,8718,849,1470,2005,1647
"10",75.3,"Cherokee","AL",24522,44,15.2,21.9,61.4,15.2,1.4,93.3,5.5,0.3,0.3,1.1,999.3,-1111.1,8.8,-1111.1,-1111.1,-1111.1,-1111.1,23.6,13.3,3583,3086,854,28.5,12.2,6398,464,1154,1436,1140
"11",74.1,"Chilton","AL",41744,60,14.9,25,62.6,11.3,1.2,88.3,10.5,0.3,0.4,3.7,1040.4,26,9.7,30.3,82.8,31.2,26.5,30,6,6130,4527,1307,31.1,19.2,9484,685,1887,2355,2009
"12",74.6,"Choctaw","AL",14807,16,18.7,24.9,59.5,13.7,2,55.7,43.9,0.1,0.1,0.8,975.7,29.8,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,17.1,13.5,2677,2148,800,33.8,20.3,3499,325,589,837,701
"13",74,"Clarke","AL",27269,22,19.2,27.3,58.5,12.4,1.8,55.8,43.7,0.2,0.2,0.7,982,-1111.1,5.8,31.5,-1111.1,-1111.1,-1111.1,-1111.1,15.8,4593,3850,1150,55,29.3,5196,594,972,1494,1290
"14",74.9,"Clay","AL",13964,23,14,22.4,60.3,14.9,2.5,84.2,15,0.3,0.1,2.1,950.3,-1111.1,7.1,-1111.1,-1111.1,-1111.1,-1111.1,23.9,12.2,2320,2198,610,35.8,14.3,3333,266,624,814,664
"15",75.3,"Cleburne","AL",14460,26,14,23.3,62.6,12.8,1.4,95.3,3.8,0.3,0.2,1.8,1072.8,-1111.1,8,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.5,2107,1852,646,0,6.9,3695,234,597,833,697
"16",75.9,"Coffee","AL",45567,67,13.7,24.5,61.1,12.9,1.5,77.9,18.5,0.9,1.2,3.2,923.6,19.1,7.1,23.3,-1111.1,25.5,31.3,23,10.3,6764,6099,1366,48.3,39.5,8316,694,1940,2590,2179
"17",75.3,"Colbert","AL",54660,92,14,23,60.9,14,2,81.9,16.7,0.4,0.3,1.3,964.4,20.3,5.6,30.2,76.9,30.1,-1111.1,21.7,13.6,8141,8226,2302,60.4,31.1,10160,1203,2463,3162,2606
"18",73,"Conecuh","AL",13257,16,22,25.3,59.3,13.4,2.1,55.3,44.1,0.2,0.1,0.9,1093.6,19.1,7.4,-1111.1,-1111.1,-1111.1,-1111.1,12.3,8.2,2657,1947,725,60.3,7.5,2872,296,576,746,635
"19",74.9,"Coosa","AL",11162,17,13.4,23.2,61.2,13.8,1.8,67.6,31.6,0.3,0.1,1.5,909.2,18.3,4.9,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,15,2028,1562,621,9,9,2707,231,422,645,517
"20",74.7,"Covington","AL",37003,36,17.5,23.4,58.7,15.5,2.5,86.1,12.6,0.5,0.3,0.9,999.7,22,5.2,28.8,-1111.1,30.2,-1111.1,27.8,12.1,6094,6401,1583,59.5,24.3,8116,686,1763,2131,1748
"21",73.7,"Crenshaw","AL",13727,23,17.6,24.2,58.7,14.9,2.3,74.6,24.6,0.4,0.1,0.8,1058.7,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2504,2272,568,14.6,14.6,3755,271,692,783,651
"22",75.3,"Cullman","AL",79886,108,13.3,23.9,61.3,13.3,1.5,97.3,1.2,0.4,0.3,3.1,1028.7,23.8,8.2,29.4,76.2,22.2,35,27.6,10,11912,11129,2400,53.8,22.5,16275,1367,3993,4572,3803
