"","county_name","state_abbr","population_size","age_19_under","age_19_64","age_65_84","age_85_and_over","white","black","native_american","asian","hispanic","prim_care_phys_rate","major_depression","recent_drug_use","ale","all_death","diabetes","health_status","no_exercise","obesity","poverty","smoker","unhealthy_days","population_density","uninsured","elderly_medicare","disabled_medicare","dentist_rate","no_hs_diploma","unemployed","sev_work_disabled"
"1","Autauga","AL",48612,26.9,62.3,9.8,0.9,80.7,17.3,0.5,0.6,1.7,45.3,2680,2394,74.9,1041.5,14.2,21.8,27.8,24.5,10.4,26.6,7.5,82,5690,4762,1209,22.6,6690,774,1727
"2","Baldwin","AL",162586,23.5,60.3,14.5,1.8,88.4,9.9,0.5,0.4,2.3,67,9354,7753,76.6,856.9,7.2,15.4,27.2,23.6,10.2,24.6,6.7,102,19798,22635,3839,30.8,20254,2533,4933
"3","Barbour","AL",28414,24.3,62.5,11.6,1.6,52.2,46.8,0.4,0.3,3.1,45.8,1618,1403,74.5,1019.4,6.6,21.4,26.5083862194016,25.6,22.1,17.7,6.10639445300462,32,5126,3288,1092,24.6,6729,569,1302
"4","Bibb","AL",21516,24.6,63.3,10.9,1.2,76.8,22.5,0.3,0.1,1.4,41.8,1218,1034,73.2,1050.5,13.1,19.4,26.5083862194016,24.1451888489209,16.8,23.1128804587561,6.10639445300462,35,3315,2390,974,18.6,5355,358,900
"5","Blount","AL",55725,24.5,62.1,12.1,1.3,97.1,1.5,0.5,0.2,6.3,16.2,3164,2675,76.1,954.2,8.4,25.8,33.5,24.2,11.9,23.6,7.9,86,8131,5019,1300,10.8,11181,819,2217
"6","Bullock","AL",11055,24.7,63.2,10,2.2,27.8,71.4,0.4,0.2,5.9,54.3,626,565,71.9,1107.6,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,26.2,23.1128804587561,6.10639445300462,18,2295,1433,504,18.1,2848,327,448
"7","Butler","AL",20766,25.6,58.5,13.6,2.4,57.5,41.9,0.2,0.3,0.9,43.3,1164,1029,73,1084.2,9.5,21.6,24.5,22,20,27.3,6.9,27,4055,3150,952,19.3,4363,537,976
"8","Calhoun","AL",112141,24.1,61.6,12.7,1.5,78.3,19.7,0.4,0.8,2,75.8,6400,5545,73.1,1100.3,11.2,26.7,29.2,27,16.4,25.5,8,184,16456,16440,5301,41.9,19546,2182,5722
"9","Chambers","AL",35460,24.8,59.5,13.5,2.2,60.8,38.6,0.1,0.2,1.2,53.6,2005,1647,73.8,1075.6,17.1,32.3,34.7,24.1451888489209,16.2,11.7,7.9,59,5533,5473,1497,22.6,8718,849,1470
"10","Cherokee","AL",24522,21.9,61.4,15.2,1.4,93.3,5.5,0.3,0.3,1.1,28.5,1436,1140,75.3,999.3,13.3,17.3167541380702,26.5083862194016,24.1451888489209,15.2,23.6,8.8,44,3583,3086,854,12.2,6398,464,1154
"11","Chilton","AL",41744,25,62.6,11.3,1.2,88.3,10.5,0.3,0.4,3.7,31.1,2355,2009,74.1,1040.4,6,26,30.3,31.2,14.9,30,9.7,60,6130,4527,1307,19.2,9484,685,1887
