"","ale","county_name","state_abbr","population_size","population_density","poverty","age_19_under","age_19_64","age_65_84","age_85_and_over","white","black","native_american","asian","hispanic","all_death","health_status","unhealthy_days","no_exercise","few_fruit_veg","obesity","high_blood_pres","smoker","diabetes","prim_care_phys_rate","dentist_rate","community_health_center_ind","hpsa_ind","uninsured","elderly_medicare","disabled_medicare","no_hs_diploma","unemployed","sev_work_disabled","major_depression","recent_drug_use"
"1",74.9,"Autauga","AL",48612,82,10.4,26.9,62.3,9.8,0.9,80.7,17.3,0.5,0.6,1.7,1041.5,21.8,7.5,27.8,78.6,24.5,29.1,26.6,14.2,45.3,22.6,0,1,0.117049288241586,0.0979593516004279,0.0248704023697852,0.137620340656628,0.0159219945692422,0.0355262075207768,0.0551304204723114,0.0492470994816095
"2",76.6,"Baldwin","AL",162586,102,10.2,23.5,60.3,14.5,1.8,88.4,9.9,0.5,0.4,2.3,856.9,15.4,6.7,27.2,76.2,23.6,30.5,24.6,7.2,67,30.8,0,1,0.121769402039536,0.139218628910238,0.0236121191246479,0.124574071568278,0.0155794471848745,0.0303408657571993,0.0575326288856359,0.0476855325796809
"3",74.5,"Barbour","AL",28414,32,22.1,24.3,62.5,11.6,1.6,52.2,46.8,0.4,0.3,3.1,1019.4,21.4,NA,NA,NA,25.6,NA,17.7,6.6,45.8,24.6,0,1,0.180404026184275,0.115717603998029,0.0384317589920462,0.236819877525164,0.0200253396213134,0.045822481875132,0.0569437601182516,0.0493770676427113
"4",73.2,"Bibb","AL",21516,35,16.8,24.6,63.3,10.9,1.2,76.8,22.5,0.3,0.1,1.4,1050.5,19.4,NA,NA,86.6,NA,NA,NA,13.1,41.8,18.6,0,0,0.154071388733965,0.11108012641755,0.0452686372931772,0.24888455103179,0.0166387804424614,0.0418293363078639,0.0566090351366425,0.0480572597137014
"5",76.1,"Blount","AL",55725,86,11.9,24.5,62.1,12.1,1.3,97.1,1.5,0.5,0.2,6.3,954.2,25.8,7.9,33.5,74.6,24.2,NA,23.6,8.4,16.2,10.8,1,0,0.145912965455361,0.0900672947510094,0.0233288470165994,0.20064602960969,0.0146971736204576,0.0397846567967699,0.0567788245850157,0.0480035890533872
"6",71.9,"Bullock","AL",11055,18,26.2,24.7,63.2,10,2.2,27.8,71.4,0.4,0.2,5.9,1107.6,NA,NA,NA,NA,NA,NA,NA,NA,54.3,18.1,0,0,0.207598371777476,0.12962460425147,0.0455902306648575,0.257620985979195,0.0295793758480326,0.0405246494798734,0.056625961103573,0.0511080958842153
"7",73,"Butler","AL",20766,27,20,25.6,58.5,13.6,2.4,57.5,41.9,0.2,0.3,0.9,1084.2,21.6,6.9,24.5,NA,22,NA,27.3,9.5,43.3,19.3,0,1,0.195271116247713,0.151690262929789,0.045844168352114,0.210103053067514,0.0258595781566021,0.046999903688722,0.056053163825484,0.0495521525570644
"8",73.1,"Calhoun","AL",112141,184,16.4,24.1,61.6,12.7,1.5,78.3,19.7,0.4,0.8,2,1100.3,26.7,8,29.2,81.9,27,33.2,25.5,11.2,75.8,41.9,0,1,0.146743831426508,0.14660115390446,0.047270846523573,0.174298427872054,0.0194576470693145,0.0510250488224646,0.0570710088192543,0.0494466787348071
"9",73.8,"Chambers","AL",35460,59,16.2,24.8,59.5,13.5,2.2,60.8,38.6,0.1,0.2,1.2,1075.6,32.3,7.9,34.7,84.6,NA,NA,11.7,17.1,53.6,22.6,0,1,0.156034968979131,0.154342921601805,0.0422165820642978,0.24585448392555,0.0239424703891709,0.0414551607445008,0.0565425831923294,0.0464467005076142
"10",75.3,"Cherokee","AL",24522,44,15.2,21.9,61.4,15.2,1.4,93.3,5.5,0.3,0.3,1.1,999.3,NA,8.8,NA,NA,NA,NA,23.6,13.3,28.5,12.2,1,0,0.146113693825952,0.125846178941359,0.0348258706467662,0.260908571894625,0.0189217845200228,0.0470597830519533,0.0585596607128293,0.0464888671397113
"11",74.1,"Chilton","AL",41744,60,14.9,25,62.6,11.3,1.2,88.3,10.5,0.3,0.4,3.7,1040.4,26,9.7,30.3,82.8,31.2,26.5,30,6,31.1,19.2,0,1,0.146847451130701,0.10844672288233,0.0313098888463013,0.227194327328478,0.0164095438865466,0.0452041011881947,0.0564152932157915,0.0481266768876964
"12",74.6,"Choctaw","AL",14807,16,18.7,24.9,59.5,13.7,2,55.7,43.9,0.1,0.1,0.8,975.7,29.8,NA,NA,NA,NA,NA,17.1,13.5,33.8,20.3,0,0,0.180792868237996,0.145066522590667,0.0540285000337678,0.236307152022692,0.0219490781387182,0.0397784831498616,0.0565273181603296,0.047342473154589
"13",74,"Clarke","AL",27269,22,19.2,27.3,58.5,12.4,1.8,55.8,43.7,0.2,0.2,0.7,982,NA,5.8,31.5,NA,NA,NA,NA,15.8,55,29.3,1,1,0.168433019179288,0.141185962081484,0.0421724302321317,0.19054604129231,0.0217829770068576,0.035644871465767,0.0547874876233085,0.047306465216913
"14",74.9,"Clay","AL",13964,23,14,22.4,60.3,14.9,2.5,84.2,15,0.3,0.1,2.1,950.3,NA,7.1,NA,NA,NA,NA,23.9,12.2,35.8,14.3,1,0,0.166141506731596,0.157404755084503,0.0436837582354626,0.238685190489831,0.0190489830993985,0.0446863362933257,0.058292752792896,0.0475508450300773
"15",75.3,"Cleburne","AL",14460,26,14,23.3,62.6,12.8,1.4,95.3,3.8,0.3,0.2,1.8,1072.8,NA,8,NA,NA,NA,NA,NA,10.5,0,6.9,1,0,0.145712309820194,0.128077455048409,0.0446749654218534,0.255532503457815,0.0161825726141079,0.0412863070539419,0.0576071922544952,0.0482019363762102
"16",75.9,"Coffee","AL",45567,67,13.7,24.5,61.1,12.9,1.5,77.9,18.5,0.9,1.2,3.2,923.6,19.1,7.1,23.3,NA,25.5,31.3,23,10.3,48.3,39.5,0,1,0.148440757565782,0.133846862861281,0.0299778348366142,0.182500493778392,0.0152303201878552,0.0425746702657625,0.0568393793754252,0.0478196940768539
"17",75.3,"Colbert","AL",54660,92,14,23,60.9,14,2,81.9,16.7,0.4,0.3,1.3,964.4,20.3,5.6,30.2,76.9,30.1,NA,21.7,13.6,60.4,31.1,0,1,0.148938894987194,0.150493962678375,0.0421148920600073,0.185876326381266,0.0220087815587267,0.0450603732162459,0.0578485181119649,0.0476765459202342
"18",73,"Conecuh","AL",13257,16,22,25.3,59.3,13.4,2.1,55.3,44.1,0.2,0.1,0.9,1093.6,19.1,7.4,NA,NA,NA,NA,12.3,8.2,60.3,7.5,0,0,0.200422418345025,0.146865806743607,0.0546880893113072,0.216640265520103,0.0223278268084785,0.043448744059742,0.056272158105152,0.0478992230519725
"19",74.9,"Coosa","AL",11162,17,13.4,23.2,61.2,13.8,1.8,67.6,31.6,0.3,0.1,1.5,909.2,18.3,4.9,NA,NA,NA,NA,NA,15,9,9,0,0,0.181687869557427,0.139939079018097,0.0556351908260168,0.242519261781043,0.020695215911127,0.0378068446514961,0.0577853431284716,0.0463178641820462
"20",74.7,"Covington","AL",37003,36,17.5,23.4,58.7,15.5,2.5,86.1,12.6,0.5,0.3,0.9,999.7,22,5.2,28.8,NA,30.2,NA,27.8,12.1,59.5,24.3,0,1,0.164689349512202,0.172985974110207,0.0427803151095857,0.219333567548577,0.0185390373753479,0.0476447855579277,0.0575899251412048,0.0472394130205659
"21",73.7,"Crenshaw","AL",13727,23,17.6,24.2,58.7,14.9,2.3,74.6,24.6,0.4,0.1,0.8,1058.7,NA,NA,NA,NA,NA,NA,NA,NA,14.6,14.6,0,0,0.182414220150069,0.165513222116996,0.0413783055292489,0.273548481095651,0.0197421140817367,0.0504115975814089,0.0570408683616231,0.0474247832738399
"22",75.3,"Cullman","AL",79886,108,13.3,23.9,61.3,13.3,1.5,97.3,1.2,0.4,0.3,3.1,1028.7,23.8,8.2,29.4,76.2,22.2,35,27.6,10,53.8,22.5,0,1,0.14911248529154,0.139311018200936,0.0300428110056831,0.203727812132289,0.0171118844353203,0.0499837268107053,0.0572315549658263,0.0476053376060887
"23",75.5,"Dale","AL",48748,87,15.8,27.7,59.4,11.8,1.2,75.5,20.9,0.5,1.3,3.2,987.4,23.9,5.8,30.4,79.5,25,NA,29.3,12.1,24.6,22.6,1,0,0.160642487896939,0.160191187330762,0.0474686140969886,0.144026421596783,0.0169853122179371,0.0371502420612128,0.0544637728727332,0.046771149585624
"24",72.1,"Dallas","AL",44366,45,25,29,57.4,12.1,1.5,32.4,66.9,0.1,0.3,0.6,1136,25.1,7,31.5,85.9,36.6,NA,20.4,11.5,101.4,38.3,0,1,0.208312671865843,0.144795564170761,0.0518865798133706,0.184983996754271,0.0284001262227832,0.0492043456701077,0.0535996032998242,0.0485732317540459
"25",75.1,"DeKalb","AL",67271,86,15.1,25,61.2,12.3,1.6,96,1.8,0.8,0.3,8.8,960.6,22,7.2,37,80.7,24.3,35.3,19.1,7.8,34.2,19.3,0,1,0.182247922581796,0.125031588648898,0.0349481946158077,0.245648199075382,0.021019458607721,0.0438376120467958,0.0563392843870316,0.0468255266013587
"26",75.2,"Elmore","AL",73937,119,12.5,25.1,64,9.8,1.2,77.3,20.7,0.4,0.5,1.7,946.9,15.1,5.8,27.7,85,24.8,23,22.6,5.5,33.8,16.2,0,1,0.112528233496084,0.105387018678064,0.0293087358156268,0.148491283119412,0.0147558056182967,0.0274287569146706,0.0563993670286866,0.0493122523229236
"27",73.2,"Escambia","AL",38082,40,18.6,24.4,61.4,12.5,1.7,64.3,31.7,2.9,0.3,1,1042.6,31.2,7.5,34.3,87.1,33.7,NA,26.1,11.4,57.8,26.3,0,1,0.170421721548238,0.132976209232708,0.0387584685678273,0.213224095373142,0.0189328291581324,0.046294837456016,0.0568510057244893,0.0481592353342787
"28",73.5,"Etowah","AL",103189,193,15.7,24,60.3,13.9,1.8,83.8,14.6,0.3,0.5,2.4,1091.5,24.1,8,34.1,81.4,27.1,38.2,31.5,10.2,72.7,42.6,0,1,0.156799658878369,0.147932434658733,0.0436868270842822,0.177741813565399,0.0192074736648286,0.0436577542179883,0.0571475641783523,0.0474372268361938
"29",73.9,"Fayette","AL",18228,29,16.1,23.5,60.4,13.6,2.4,87.4,11.8,0.2,0.3,0.9,979.6,32.7,10,NA,NA,32.7,NA,21.2,12.7,60.3,16.5,1,1,0.12936142198815,0.139565503620803,0.0401031380294053,0.2357910906298,0.0172811059907834,0.0510752688172043,0.0575488259820057,0.0472898836954136
"30",73.6,"Franklin","AL",30737,48,17.4,24.6,60.2,13.7,1.5,94.1,4.2,0.4,0.6,10.7,1091.7,25,NA,28.9,85.5,NA,NA,NA,7.2,35.8,22.8,0,1,0.194456192862023,0.158473500992289,0.0429449848716531,0.257734977388815,0.0216026287536194,0.0481179035039204,0.0566743663988027,0.0473696196766112
